data_type,collector,purpose
UNSPECIFIED_DATA,modern hire,services
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,
aggregate / deidentified / pseudonymized information,advertiser,
aggregate / deidentified / pseudonymized information,business partner,
aggregate / deidentified / pseudonymized information,merchant,
aggregate / deidentified / pseudonymized information,modern hire,services
candidate personal datum,modern hire,"services, advertising, analytics"
cookie / pixel tag,modern hire,"services, advertising, analytics"
non-personal information,modern hire,"services, advertising, analytics"
only truthful information,data subject,
personal information,UNSPECIFIED_ACTOR,
personal information,contractor,
personal information,division,
personal information,modern hire,"services, advertising, analytics"
personal information,unit,
recruiter personal datum,modern hire,"services, advertising, analytics"
relate information use for system administration purpose,modern hire,"services, advertising, analytics"
user information,modern hire,"services, advertising, analytics, legal"
