data_type,collector,purpose
UNSPECIFIED_DATA,we,
analytic statistic,UNSPECIFIED_ACTOR,"advertising, analytics"
analytic statistic,we,"advertising, services, analytics"
asset view,UNSPECIFIED_ACTOR,"advertising, analytics"
asset view,we,"advertising, services, analytics"
clickstream datum,UNSPECIFIED_ACTOR,"advertising, analytics"
clickstream datum,we,"advertising, services, analytics"
email address,we,"advertising, services"
information we collect from you,we,"advertising, services"
internet activity,UNSPECIFIED_ACTOR,"advertising, analytics"
internet activity,we,"advertising, services, analytics"
log file information,we,"advertising, services, analytics"
number of click,UNSPECIFIED_ACTOR,"advertising, analytics"
number of click,we,"advertising, services, analytics"
personal information,we,"advertising, services, analytics"
phone number,UNSPECIFIED_ACTOR,"advertising, analytics"
phone number,we,"advertising, services, analytics"
platform type,UNSPECIFIED_ACTOR,"advertising, analytics"
platform type,we,"advertising, services, analytics"
url,UNSPECIFIED_ACTOR,"advertising, analytics"
url,we,"advertising, services, analytics"
