data_type,collector,purpose
UNSPECIFIED_DATA,we,
aggregate / deidentified / pseudonymized information,we,
cookie / pixel tag,we,"analytics, services"
credential,we,"analytics, services"
credit / debit card number,Stripe,
credit / debit card number,payment processing partner,
device identifier,we,"analytics, services"
information about datum,we,"analytics, services"
internal analytic,we,"analytics, services"
personal information,UNSPECIFIED_ACTOR,
personal information,we,"analytics, services"
product development,we,"analytics, services"
profile information,we,"analytics, services"
